station_1,station_2,distance_meters
Van Cortlandt Park–242 St,238 St,544.6501371855061
238 St,231 St,726.6785954387561
231 St,Marble Hill–225 St,636.411308484981
Marble Hill–225 St,215 St,730.1020871778684
215 St,207 St,613.8232031391984
207 St,Dyckman St,725.3876685086226
Dyckman St,191 St,1155.5167513598306
191 St,181 St,726.6362728234299
181 St,168 St,1228.1591297825566
168 St,157 St,867.3451735521044
157 St,145 St,951.5477222632741
145 St,137 St–City College,853.8002379829201
137 St–City College,125 St,816.5001478720765
125 St,116 St–Columbia University,1059.019046032088
116 St–Columbia University,Cathedral Pkwy (110 St),10082.73641911443
Cathedral Pkwy (110 St),103 St,9276.84403308367
103 St,96 St,945.5909881235294
96 St,86 St,2494.2605976516797
86 St,79 St,18389.57607271477
79 St,72 St,18408.90994562
72 St,66 St–Lincoln Center,2067.9263523158957
66 St–Lincoln Center,59 St–Columbus Circle,573.4945685966795
59 St–Columbus Circle,50 St,751.8438760015538
50 St,Times Sq–42 St,575.762046935557
Times Sq–42 St,34 St–Penn Station,852.242611564017
34 St–Penn Station,28 St,564.3199112342074
28 St,23 St,607.8956890428148
23 St,18 St,719.2305458118346
18 St,14 St,10315.425863288257
14 St,Christopher St–Stonewall,837.4034166487805
Christopher St–Stonewall,Houston St,610.6117558081098
Houston St,Canal St,605.105985534392
Canal St,Franklin St,590.3946893640716
Franklin St,Chambers St,472.05700217545416
Chambers St,WTC Cortlandt,9161.045808073464
WTC Cortlandt,Rector St,499.3624625968974
Rector St,South Ferry,460.51465988053974
Wakefield-241 St,Nereid Av,615.1134847650959
Nereid Av,233 St,632.8220101979937
233 St,225 St,623.3115681186207
225 St,219 St,497.5145994836907
219 St,Gun Hill Rd,738.309387629319
Gun Hill Rd,Burke Av,1759.5178890071193
Burke Av,Allerton Av,655.5776027594675
Allerton Av,Pelham Pkwy,919.8419500643777
Pelham Pkwy,Bronx Park East,1577.6176564878642
Bronx Park East,E 180 St,879.8283069043373
E 180 St,West Farms Sq-E Tremont Av,579.7416749846783
West Farms Sq-E Tremont Av,174 St,727.4212948919899
174 St,Freeman St,882.6817023897813
Freeman St,Simpson St,665.9722837428252
Simpson St,Intervale Av,373.5105715978053
Intervale Av,Prospect Av,512.6027403542182
Prospect Av,Jackson Av,18263.775985638487
Jackson Av,3 Av-149 St,837.9709211471305
3 Av-149 St,149 St–Grand Concourse,845.8077279613603
149 St–Grand Concourse,135 St (Lenox Av),1219.8525887429394
135 St (Lenox Av),125 St (Lenox Av),822.3495646842883
125 St (Lenox Av),116 St (Lenox Av),718.5416669925298
116 St (Lenox Av),110 St–Malcolm X Plaza,7785.758104878426
110 St–Malcolm X Plaza,96 St & Broadway,9880.34289926986
