station,line,complex_ids,latitude,longitude
Van Cortlandt Park–242 St,1,293,40.889248,-73.89858
238 St,1,294,40.884666,-73.90087
231 St,1,295,40.878857,-73.90483
Marble Hill–225 St,1,296,40.87456,-73.90983
215 St,1,297,40.869446,-73.915276
207 St,1,298,40.86462,-73.91882
Dyckman St,1,"299,144",40.86053,-73.92554
191 St,1,300,40.855225,-73.92941
181 St,1,"146,301",40.849506,-73.93359
168 St,1,605,40.840717,-73.93956
157 St,1,303,40.83404,-73.94489
145 St,1,"437,151,304",40.82655,-73.95036
137 St–City College,1,305,40.822006,-73.953674
125 St,1,"392,153,306,439",40.815582,-73.958374
116 St–Columbia University,1,307,40.80772,-73.96411
Cathedral Pkwy (110 St),1,"169,623,325",40.722855,-74.00628
103 St,1,"156,309,395",40.799446,-73.968376
96 St,1,"310,157,475,396",40.79392,-73.97232
86 St,1,"397,476,38,311,158,79",40.788643,-73.97622
79 St,1,"312,65",40.783936,-73.97992
72 St,1,"313,160,477",40.778454,-73.98197
66 St–Lincoln Center,1,314,40.77344,-73.98221
59 St–Columbus Circle,1,614,40.768295,-73.981735
50 St,1,"61,162,316",40.761726,-73.98385
Times Sq–42 St,1,611,40.75731,-73.986755
34 St–Penn Station,1,"164,318",40.750374,-73.99106
28 St,1,"13,319,404",40.747215,-73.99336
23 St,1,"405,165,14,228,320",40.74408,-73.99566
18 St,1,321,40.74104,-73.99787
14 St,1,"437,151,304",40.82655,-73.95036
Christopher St–Stonewall,1,323,40.73342,-74.00291
Houston St,1,324,40.728252,-74.00536
Canal St,1,"169,623,325",40.722855,-74.00628
Franklin St,1,326,40.71932,-74.00689
Chambers St,1,327,40.715477,-74.00927
WTC Cortlandt,1,328,40.711834,-74.01219
Rector St,1,"329,22",40.70751,-74.01379
South Ferry,1,635,40.703087,-74.01299
Wakefield-241 St,2,416,40.903126,-73.85062
Nereid Av,2,417,40.89838,-73.85438
233 St,2,418,40.893192,-73.857475
225 St,2,419,40.888023,-73.860344
219 St,2,420,40.883896,-73.86263
Gun Hill Rd,2,"444,421",40.87785,-73.86626
Burke Av,2,422,40.871357,-73.867165
Allerton Av,2,423,40.865463,-73.867355
Pelham Pkwy,2,"445,424",40.857193,-73.867615
Bronx Park East,2,425,40.848827,-73.868454
E 180 St,2,426,40.841892,-73.87349
West Farms Sq-E Tremont Av,2,427,40.840294,-73.88005
174 St,2,428,40.837288,-73.88773
Freeman St,2,429,40.829994,-73.89187
Simpson St,2,430,40.824074,-73.89307
Intervale Av,2,431,40.82218,-73.896736
Prospect Av,2,"432,30",40.819584,-73.90177
Jackson Av,2,433,40.81649,-73.90781
3 Av-149 St,2,434,40.81611,-73.917755
149 St–Grand Concourse,2,603,40.818375,-73.92735
135 St (Lenox Av),2,"152,438",40.814228,-73.94077
125 St (Lenox Av),2,"392,153,306,439",40.807755,-73.945496
116 St (Lenox Av),2,"393,154,440",40.802097,-73.94962
110 St–Malcolm X Plaza,2,426,40.841892,-73.87349
96 St & Broadway,2,"310,157,475,396",40.79392,-73.97232
72 St & Broadway,2,"313,160,477",40.778454,-73.98197
Times Sq–42 St,2,611,40.75731,-73.986755
34 St–Penn Station,2,"164,318",40.750374,-73.99106
14 St,2,428,40.837288,-73.88773
Chambers St,2,327,40.715477,-74.00927
Park Place,2,334,40.697468,-73.99309
Fulton St,2,"628,292",40.710373,-74.00657
Wall St,2,"333,413",40.70682,-74.0091
Clark St,2,334,40.697468,-73.99309
Borough Hall,2,"444,421",40.87785,-73.86626
Hoyt St,2,336,40.690544,-73.98506
Nevins St,2,337,40.688248,-73.98049
Atlantic Av–Barclays Ctr,2,617,40.68436,-73.97767
Bergen St,2,"236,339",40.68083,-73.9751
Grand Army Plaza,2,340,40.675236,-73.97105
Eastern Pkwy–Brooklyn Museum,2,341,40.671986,-73.96438
Franklin Av–Medgar Evers College,2,353,40.667885,-73.95068
President St–Medgar Evers College,2,353,40.667885,-73.95068
Sterling St,2,354,40.662743,-73.95085
Winthrop St,2,355,40.65665,-73.9502
Church Av,2,"356,44,243",40.650845,-73.94958
Beverly Rd,2,357,40.6451,-73.94896
Newkirk Av–Little Haiti,2,358,40.63997,-73.94841
Flatbush Av–Brooklyn College,2,359,40.632835,-73.94764
Harlem-148 St,3,436,40.82388,-73.93647
145 St,3,"437,151,304",40.82042,-73.93625
135 St,3,"152,438",40.814228,-73.94077
125 St,3,"392,153,306,439",40.807755,-73.945496
116 St,3,"393,154,440",40.802097,-73.94962
110 St-Malcolm X Plaza,3,"393,154,440",40.802097,-73.94962
96 St,3,"310,157,475,396",40.79392,-73.97232
72 St,3,"313,160,477",40.778454,-73.98197
Times Square-42 St,3,611,40.75731,-73.986755
34 St-Penn Station,3,"164,318",40.750374,-73.99106
14 St,3,"437,151,304",40.82042,-73.93625
Chambers St,3,327,40.715477,-74.00927
Park Place,3,334,40.697468,-73.99309
Fulton St,3,"628,292",40.710373,-74.00657
Wall St,3,"333,413",40.70682,-74.0091
Clark St,3,334,40.697468,-73.99309
Borough Hall,3,"333,413",40.70682,-74.0091
Hoyt St,3,336,40.690544,-73.98506
Nevins St,3,337,40.688248,-73.98049
Atlantic Av-Barclays Ctr,3,617,40.68436,-73.97767
Bergen St,3,"236,339",40.68083,-73.9751
Grand Army Plaza,3,340,40.675236,-73.97105
Eastern Parkway-Brooklyn Museum,3,341,40.671986,-73.96438
Franklin Av-Medgar Evers College,3,626,40.67068,-73.95813
Nostrand Av,3,"343,179",40.669846,-73.95046
Kingston Av,3,344,40.6694,-73.94216
Crown Heights-Utica Av,3,345,40.668896,-73.932945
Sutter Ave-Rutland Rd,3,346,40.66472,-73.92261
Saratoga Av,3,347,40.661453,-73.91633
Rockaway Av,3,"348,183",40.662548,-73.90894
Junius St,3,349,40.663513,-73.90245
Pennsylvania Av,3,350,40.664635,-73.8949
Van Siclen Av,3,"351,90,186",40.665447,-73.8894
New Lots Av,3,"136,352",40.666237,-73.88408
Woodlawn,4,378,40.886036,-73.87875
Mosholu Pkwy,4,379,40.87975,-73.88466
Bedford Pk Blvd-Lehman College,4,380,40.873413,-73.89006
Kingsbridge Rd,4,"212,381",40.86776,-73.89717
Fordham Rd,4,"213,382",40.862804,-73.90103
183 St,4,383,40.858406,-73.90388
Burnside Av,4,384,40.853455,-73.907684
176 St,4,385,40.84848,-73.9118
Mt Eden Av,4,386,40.844433,-73.91469
170 St,4,"217,387",40.840076,-73.91779
167 St,4,"388,218",40.835537,-73.9214
161 St-Yankee Stadium,4,604,40.827995,-73.92565
149 St-Grand Concourse,4,603,40.818375,-73.92735
138 St-Grand Concourse,4,391,40.813225,-73.92985
125 St,4,"392,153,306,439",40.80414,-73.93759
86 St,4,"397,476,38,311,158,79",40.77949,-73.95559
59 St,4,"392,153,306,439",40.80414,-73.93759
Grand Central-42 St,4,610,40.751778,-73.976845
14 St-Union Sq,4,602,40.735737,-73.98995
Brooklyn Bridge-City Hall,4,622,40.71324,-74.0034
Fulton St,4,"628,292",40.710373,-74.00657
Wall St,4,"333,413",40.707558,-74.01186
Bowling Green,4,414,40.70482,-74.01407
Borough Hall,4,"333,413",40.707558,-74.01186
Nevins St,4,337,40.688248,-73.98049
Atlantic Av-Barclays Ctr,4,617,40.68436,-73.97767
Franklin Av-Medgar Evers College,4,380,40.873413,-73.89006
Crown Heights-Utica Av,4,345,40.668896,-73.932945
Eastchester-Dyre Av,5,442,40.8883,-73.83083
Baychester Av,5,443,40.878662,-73.83859
Gun Hill Rd,5,"444,421",40.869526,-73.84638
Pelham Pkwy,5,"445,424",40.858986,-73.85536
Morris Park,5,446,40.854362,-73.8605
E 180 St,5,426,40.841892,-73.87349
West Farms Sq-E Tremont Av,5,427,40.840294,-73.88005
174 St,5,428,40.837288,-73.88773
Freeman St,5,429,40.829994,-73.89187
Simpson St,5,430,40.824074,-73.89307
Intervale Av,5,431,40.82218,-73.896736
Prospect Av,5,"432,30",40.819584,-73.90177
Jackson Av,5,433,40.81649,-73.90781
