line,sequence,station
1,1,Van Cortlandt Park–242 St
1,2,238 St
1,3,231 St
1,4,Marble Hill–225 St
1,5,215 St
1,6,207 St
1,7,Dyckman St
1,8,191 St
1,9,181 St
1,10,168 St
1,11,157 St
1,12,145 St
1,13,137 St–City College
1,14,125 St
1,15,116 St–Columbia University
1,16,Cathedral Pkwy (110 St)
1,17,103 St
1,18,96 St
1,19,86 St
1,20,79 St
1,21,72 St
1,22,66 St–Lincoln Center
1,23,59 St–Columbus Circle
1,24,50 St
1,25,Times Sq–42 St
1,26,34 St–Penn Station
1,27,28 St
1,28,23 St
1,29,18 St
1,30,14 St
1,31,Christopher St–Stonewall
1,32,Houston St
1,33,Canal St
1,34,Franklin St
1,35,Chambers St
1,36,WTC Cortlandt
1,37,Rector St
1,38,South Ferry
2,1,Wakefield-241 St
2,2,Nereid Av
2,3,233 St
2,4,225 St
2,5,219 St
2,6,Gun Hill Rd
2,7,Burke Av
2,8,Allerton Av
2,9,Pelham Pkwy
2,10,Bronx Park East
2,11,E 180 St
2,12,West Farms Sq-E Tremont Av
2,13,174 St
2,14,Freeman St
2,15,Simpson St
2,16,Intervale Av
2,17,Prospect Av
2,18,Jackson Av
2,19,3 Av-149 St
2,20,149 St–Grand Concourse
2,21,135 St (Lenox Av)
2,22,125 St (Lenox Av)
2,23,116 St (Lenox Av)
2,24,110 St–Malcolm X Plaza
2,25,96 St & Broadway
2,26,72 St & Broadway
2,27,Times Sq–42 St
2,28,34 St–Penn Station
2,29,14 St
2,30,Chambers St
2,31,Park Place
2,32,Fulton St
2,33,Wall St
2,34,Clark St
2,35,Borough Hall
2,36,Hoyt St
2,37,Nevins St
2,38,Atlantic Av–Barclays Ctr
2,39,Bergen St
2,40,Grand Army Plaza
2,41,Eastern Pkwy–Brooklyn Museum
2,42,Franklin Av–Medgar Evers College
2,43,President St–Medgar Evers College
2,44,Sterling St
2,45,Winthrop St
2,46,Church Av
2,47,Beverly Rd
2,48,Newkirk Av–Little Haiti
2,49,Flatbush Av–Brooklyn College
3,1,Harlem-148 St
3,2,145 St
3,3,135 St
3,4,125 St
3,5,116 St
3,6,110 St-Malcolm X Plaza
3,7,96 St
3,8,72 St
3,9,Times Square-42 St
3,10,34 St-Penn Station
3,11,14 St
3,12,Chambers St
3,13,Park Place
3,14,Fulton St
3,15,Wall St
3,16,Clark St
3,17,Borough Hall
3,18,Hoyt St
3,19,Nevins St
3,20,Atlantic Av-Barclays Ctr
3,21,Bergen St
3,22,Grand Army Plaza
3,23,Eastern Parkway-Brooklyn Museum
3,24,Franklin Av-Medgar Evers College
3,25,Nostrand Av
3,26,Kingston Av
3,27,Crown Heights-Utica Av
3,28,Sutter Ave-Rutland Rd
3,29,Saratoga Av
3,30,Rockaway Av
3,31,Junius St
3,32,Pennsylvania Av
3,33,Van Siclen Av
3,34,New Lots Av
4,1,Woodlawn
4,2,Mosholu Pkwy
4,3,Bedford Pk Blvd-Lehman College
4,4,Kingsbridge Rd
4,5,Fordham Rd
4,6,183 St
4,7,Burnside Av
4,8,176 St
4,9,Mt Eden Av
4,10,170 St
4,11,167 St
4,12,161 St-Yankee Stadium
4,13,149 St-Grand Concourse
4,14,138 St-Grand Concourse
4,15,125 St
4,16,86 St
4,17,59 St
4,18,Grand Central-42 St
4,19,14 St-Union Sq
4,20,Brooklyn Bridge-City Hall
4,21,Fulton St
4,22,Wall St
4,23,Bowling Green
4,24,Borough Hall
4,25,Nevins St
4,26,Atlantic Av-Barclays Ctr
4,27,Franklin Av-Medgar Evers College
4,28,Crown Heights-Utica Av
5,1,Eastchester-Dyre Av
5,2,Baychester Av
5,3,Gun Hill Rd
5,4,Pelham Pkwy
5,5,Morris Park
5,6,E 180 St
5,7,West Farms Sq-E Tremont Av
5,8,174 St
5,9,Freeman St
5,10,Simpson St
5,11,Intervale Av
5,12,Prospect Av
