station,latitude,longitude,traffic_17
1 Av,40.730953,-73.98163,156.63114585
103 St,40.796093,-73.96146,51.59525751666667
103 St-Corona Plaza,40.749866,-73.8627,60.423652849999996
104 St,40.688445,-73.84100749999999,6.799551975499999
110 St,40.79502,-73.94425,45.970095195
110 St-Malcolm X Plaza,40.802097,-73.94962,45.33533727333333
110 St–Malcolm X Plaza,40.841892,-73.87349,23.537998845
111 St,40.69742,-73.83634,16.79185915016667
116 St,40.802097,-73.94962,45.33533727333334
116 St (Lenox Av),40.802097,-73.94962,45.33533727333333
116 St–Columbia University,40.80772,-73.96411,122.7162768
121 St,40.700493,-73.82829,11.028346355
125 St,40.8094315,-73.94892300000001,105.3900592775
125 St (Lenox Av),40.8094315,-73.94892300000001,105.3900592775
135 St,40.816061000000005,-73.94421,40.77064285
135 St (Lenox Av),40.816061000000005,-73.94421,40.77064285
137 St–City College,40.822006,-73.953674,48.01447179
138 St-Grand Concourse,40.813225,-73.92985,21.0565456
14 St,40.824783,-73.944214,67.204422355
14 St-Union Sq,40.735737,-73.99026,690.8168698
14 St–Union Sq,40.735737,-73.99026,690.8168698000001
145 St,40.824783,-73.944214,46.903659553333334
149 St-Grand Concourse,40.818375,-73.92735,55.034714925
149 St–Grand Concourse,40.818375,-73.92735,55.034714925
15 St–Prospect Park,40.660366,-73.97949,30.919698644999997
155 St,40.830326,-73.93986,9.2924604525
157 St,40.83404,-73.94489,41.586344305
161 St-Yankee Stadium,40.827995,-73.92565,124.48189880000001
163 St-Amsterdam Av,40.836014,-73.939896,14.946384875
167 St,40.8346535,-73.91992,25.140785225
168 St,40.840717,-73.93956,161.97347944999999
170 St,40.839691,-73.915595,19.9348714475
174 St,40.837288,-73.88773,22.68835738
174-175 Sts,40.8459,-73.91013,17.724263015
175 St,40.84739,-73.939705,40.94076181
176 St,40.84848,-73.9118,18.098479089999998
18 Av,40.62067,-73.99042,18.680944315
18 St,40.74104,-73.99787,57.118801785
181 St,40.850601,-73.9357775,41.29008325
182-183 Sts,40.856094,-73.90074,12.576370415
183 St,40.858406,-73.90388,14.374517019999999
190 St,40.85902,-73.93418,19.753950445
191 St,40.855225,-73.92941,26.254772969999998
20 Av,40.6109835,-73.991595,13.164233685
207 St,40.86462,-73.91882,23.195904565
21 St,40.744064,-73.94972,19.892946555
215 St,40.869446,-73.915276,12.48193834
219 St,40.883896,-73.86263,7.509022286
225 St,40.888023,-73.860344,8.1229790615
23 St,40.742878,-73.99282,157.26629598
231 St,40.878857,-73.90483,31.39618139
233 St,40.893192,-73.857475,12.225154475
238 St,40.884666,-73.90087,15.445849915
25 Av,40.597706,-73.98683,11.455447665
25 St,40.660397,-73.99809,23.118475085
28 St,40.745495,-73.98869,116.52320124333333
3 Av,40.73285,-73.98612,46.05264579
3 Av-138 St,40.810474,-73.92614,31.421663715
3 Av-149 St,40.81611,-73.917755,85.57122394
30 Av,40.76678,-73.92148,56.103367045
33 St,40.746082,-73.98208,204.88870365
33 St-Rawson St,40.744587,-73.931,68.09919891
34 St-Herald Sq,40.749718,-73.98782,825.1850141499999
34 St-Hudson Yards,40.755882,-74.00191,304.69846275
34 St-Penn Station,40.751332000000005,-73.992225,440.51372250000003
34 St–Herald Sq,40.749718,-73.98782,825.1850141499999
34 St–Penn Station,40.751332000000005,-73.992225,440.51372250000003
36 Av,40.756805,-73.92957,32.29119155
36 St,40.703592,-73.966165,76.4161809275
39 Av,40.76678,-73.92148,56.103367045
4 Av–9 St,40.764812,-73.97335,157.45583485
4 Av–9 Sts,40.670561500000005,-73.989042,75.97952859
40 St-Lowery St,40.743782,-73.92402,44.876985835
42 St-Bryant Pk,40.749718,-73.98782,825.1850141499999
42 St-Port Authority Bus Terminal,40.75229,-73.99106,344.68639425
42 St–Port Authority Bus Terminal,40.751332000000005,-73.992225,440.5137225
45 St,40.648937,-74.01001,35.60929885
46 St,40.756313,-73.91333,29.72125743
46 St-Bliss St,40.743134,-73.918434,54.68865472
47-50 Sts-Rockefeller Ctr,40.758663,-73.98133,665.1348964
49 St,40.7599,-73.98414,235.01651665
5 Av,40.74415,-73.91255,22.964296835
5 Av/53 St,40.760166,-73.97523,259.74731184999996
5 Av/59 St,40.764812,-73.97335,157.45583485
50 St,40.761726,-73.985985,132.65759477666668
51 St,40.802097,-73.94962,45.33533727333333
52 St,40.74415,-73.91255,22.964296835
53 St,40.64507,-74.01403,37.62975979
55 St,40.631435,-73.995476,15.081999960000001
57 St–7 Av,40.764664,-73.98066,278.99671079999996
59 St,40.80414,-73.95235,102.21043189
59 St-Columbus Circle,40.768295,-73.981735,521.23837305
59 St–Columbus Circle,40.768295,-73.981735,521.23837305
6 Av,40.730953,-73.98163,156.63114585
61 St-Woodside,40.74563,-73.902985,61.338286775
62 St,40.703592,-73.966165,76.4161809275
63 Dr–Rego Park,40.729847,-73.8616,50.820180875
65 St,40.74967,-73.89845,12.570001564999998
66 St–Lincoln Center,40.77344,-73.98221,131.39396565
67 Av,40.726524,-73.85272,25.310166465000002
68 St-Hunter College,40.768143,-73.96387,176.02598425000002
69 St,40.746326,-73.8964,21.627414485
7 Av,40.67705,-73.98031,98.23623137833334
71 St,40.61959,-73.99886,13.021761855000001
72 St,40.775593,-73.97641,184.59759128
72 St & Broadway,40.775593,-73.97641,184.59759128
74 St-Broadway,40.743782,-73.92402,44.876985835
75 Av,40.71833,-73.837326,14.923689119999999
75 St–Elderts Ln,40.691322,-73.86714,11.017881545
77 St,40.701679999999996,-73.992695,103.6968595325
79 St,40.698719499999996,-73.990265,57.372694055
8 Av,40.730953,-73.98163,156.63114585
8 Av (Brooklyn),40.635063,-74.01172,70.397650415
8 St–NYU,40.730328,-73.99263,116.54178765
80 St,40.67937,-73.85899,10.402268435
81 St-Museum of Natural History,40.781433,-73.972145,153.03173775
82 St-Jackson Hts,40.747658,-73.8837,66.56952491999999
85 St–Forest Pkwy,40.692436,-73.86001,7.021678347
86 St,40.77869,-73.97256999999999,114.65696175891667
88 St,40.679844,-73.85147,6.026839359
9 Av,40.646294,-73.99432,22.241667815
90 St-Elmhurst Av,40.74841,-73.87661,57.722523635
96 St,40.788655000000006,-73.957885,115.80745141499999
96 St & Broadway,40.788655000000006,-73.957885,115.807451415
Alabama Av,40.7201775,-74.002558,162.74667059875
Allerton Av,40.865463,-73.867355,12.296928375
Aqueduct Racetrack,40.672096,-73.83592,5.0392540375
Aqueduct-North Conduit Av,40.668236,-73.83406,3.5790004855
Astor Pl,40.730053,-73.99107,97.786449875
Astoria Blvd,40.77026,-73.91785,39.391614755
Astoria–Ditmars Blvd,40.775036,-73.91203,55.90781271
Atlantic Av,40.675346,-73.9031,14.021729645
Atlantic Av-Barclays Ctr,40.68441,-73.97728000000001,248.66198215
Atlantic Av–Barclays Ctr,40.68441,-73.97728000000001,248.66198215
Avenue H,40.62927,-73.96164,14.575634
Avenue J,40.62504,-73.9608,24.874461635
Avenue M,40.61762,-73.9594,26.74171604
Avenue U,40.597473,-73.97336,16.75423482933333
Bay Pkwy,40.611816,-73.98185,16.36600307266667
Bay Ridge Av,40.634968,-74.02338,27.671668495
Bay Ridge–95 St,40.616623,-74.030876,19.773239744999998
Bay-50 St,40.761726,-73.985985,132.65759477666668
Baychester Av,40.878662,-73.83859,8.8719314705
Beach 105 St,40.58321,-73.82756,6.645371952
Beach 25 St,40.600067,-73.76135,4.492106759
Beach 36 St,40.595398,-73.76817,3.1816948415
Beach 44 St,40.59294,-73.77602,3.011576353
Beach 60 St,40.592373,-73.78852,5.7952999115
Beach 67 St,40.590927,-73.79692,9.668151751
Beach 90 St,40.588036,-73.813644,8.8058135525
Beach 98 St,40.585308,-73.82056,6.00159013
Bedford Av,40.717304,-73.95687,200.74108115
Bedford Park Blvd,40.873245,-73.88714,19.016267695
Bedford Pk Blvd-Lehman College,40.873413,-73.89006,20.205150465000003
Bedford–Nostrand Avs,40.68963,-73.95352,43.655028924999996
Bergen St,40.683488,-73.98298,49.018640537500005
Beverly Rd,40.6451,-73.94896,15.225055499999998
Bleeker St,40.720825,-74.005226,213.16923102833334
Borough Hall,40.788542,-73.93768,99.166429001
Botanic Garden,40.608383,-73.815926,2.870444033
Bowery,40.72028,-73.99391,28.178833095
Bowling Green,40.70482,-74.01407,211.16807970000002
Briarwood,40.70918,-73.82057,14.816519974999999
