station_complex_id,station_complex,latitude,longitude,traffic_00,traffic_01,traffic_02,traffic_03,traffic_04,traffic_05,traffic_06,traffic_07,traffic_08,traffic_09,traffic_10,traffic_11,traffic_12,traffic_13,traffic_14,traffic_15,traffic_16,traffic_17,traffic_18,traffic_19,traffic_20,traffic_21,traffic_22,traffic_23,peak_original,peak_hour_original,traffic_00_120,traffic_01_120,traffic_02_120,traffic_03_120,traffic_04_120,traffic_05_120,traffic_06_120,traffic_07_120,traffic_08_120,traffic_09_120,traffic_10_120,traffic_11_120,traffic_12_120,traffic_13_120,traffic_14_120,traffic_15_120,traffic_16_120,traffic_17_120,traffic_18_120,traffic_19_120,traffic_20_120,traffic_21_120,traffic_22_120,traffic_23_120,traffic_00_140,traffic_01_140,traffic_02_140,traffic_03_140,traffic_04_140,traffic_05_140,traffic_06_140,traffic_07_140,traffic_08_140,traffic_09_140,traffic_10_140,traffic_11_140,traffic_12_140,traffic_13_140,traffic_14_140,traffic_15_140,traffic_16_140,traffic_17_140,traffic_18_140,traffic_19_140,traffic_20_140,traffic_21_140,traffic_22_140,traffic_23_140,traffic_00_160,traffic_01_160,traffic_02_160,traffic_03_160,traffic_04_160,traffic_05_160,traffic_06_160,traffic_07_160,traffic_08_160,traffic_09_160,traffic_10_160,traffic_11_160,traffic_12_160,traffic_13_160,traffic_14_160,traffic_15_160,traffic_16_160,traffic_17_160,traffic_18_160,traffic_19_160,traffic_20_160,traffic_21_160,traffic_22_160,traffic_23_160,hours_exceed_120,hours_exceed_140,hours_exceed_160
119,1 Av (L),40.730953,-73.98163,37.70315399,23.84503902,15.51719745,9.302052786,7.206896552,7.740740741,26.43828265,74.75350371,146.4466882,107.1061093,79.98120915,78.56816327,90.36711891,96.76677316,132.6378335,146.0289742,143.5987411,157.3681275,149.2145685,140.8410175,106.6091861,96.25988701,83.82281553,55.36581338,157.3681275,traffic_17,45.24378479,28.61404682,18.62063694,11.16246334,8.648275862,9.288888889,31.72593918,89.70420445,175.7360258,128.5273312,95.97745098,94.28179592,108.4405427,116.1201278,159.1654002,175.234769,172.3184894,188.841753,179.0574822,169.009221,127.9310234,115.5118644,100.5873786,66.43897605,52.78441558,33.38305463,21.72407643,13.0228739,10.08965517,10.83703704,37.01359571,104.6549052,205.0253635,149.9485531,111.9736928,109.9954286,126.5139665,135.4734824,185.6929669,204.4405638,201.0382376,220.3153785,208.9003959,197.1774245,149.2528606,134.7638418,117.3519417,77.51213873,60.32504638,38.15206243,24.82751592,14.88328446,11.53103448,12.38518519,42.30125224,119.6056059,234.3147011,171.3697749,127.9699346,125.7090612,144.5873903,154.8268371,212.2205335,233.6463587,229.7579858,251.789004,238.7433096,225.345628,170.5746978,154.0158192,134.1165049,88.5853014,"['traffic_08', 'traffic_14', 'traffic_15', 'traffic_16', 'traffic_17', 'traffic_18', 'traffic_19']","['traffic_08', 'traffic_14', 'traffic_15', 'traffic_16', 'traffic_17', 'traffic_18', 'traffic_19']","['traffic_08', 'traffic_09', 'traffic_14', 'traffic_15', 'traffic_16', 'traffic_17', 'traffic_18', 'traffic_19', 'traffic_20']"
119,1 Av (L),40.730953,-73.98163,34.78894174,21.20203488,13.15306981,9.208255159,5.962478185,7.931661442,25.36164384,72.22460733,147.840685,105.8922125,73.90131579,77.28513445,80.28096677,92.03977845,116.5844862,136.4330669,140.3288624,155.8941642,152.9429429,121.9001505,105.5755756,94.90267272,80.34136126,55.13379903,155.8941642,traffic_17,41.74673008,25.44244186,15.78368377,11.04990619,7.154973822,9.51799373,30.4339726,86.6695288,177.408822,127.070655,88.68157895,92.74216134,96.33716012,110.4477341,139.9013834,163.7196803,168.3946349,187.072997,183.5315315,146.2801806,126.6906907,113.8832073,96.40963351,66.16055884,48.70451843,29.68284884,18.41429773,12.89155722,8.347469459,11.10432602,35.50630137,101.1144503,206.976959,148.2490975,103.4618421,108.1991882,112.3933535,128.8556898,163.2182806,191.0062937,196.4604074,218.2518299,214.1201201,170.6602107,147.8058058,132.8637418,112.4779058,77.18731865,55.66230678,33.92325581,21.04491169,14.73320826,9.539965096,12.69065831,40.57863014,115.5593717,236.545096,169.42754,118.2421053,123.6562151,128.4495468,147.2636455,186.5351779,218.2929071,224.5261798,249.4306627,244.7087087,195.0402408,168.9209209,151.8442763,128.546178,88.21407845,"['traffic_08', 'traffic_15', 'traffic_16', 'traffic_17', 'traffic_18']","['traffic_08', 'traffic_14', 'traffic_15', 'traffic_16', 'traffic_17', 'traffic_18', 'traffic_19']","['traffic_08', 'traffic_09', 'traffic_14', 'traffic_15', 'traffic_16', 'traffic_17', 'traffic_18', 'traffic_19', 'traffic_20']"
309,103 St (1),40.799446,-73.968376,6.197752809,3.5249501,2.619246862,2.423982869,3.206185567,6.030271399,15.84829443,50.04379562,86.29078014,61.57108239,47.19386107,44.28074434,45.14498757,47.55394525,47.08870968,51.28650794,54.41021548,60.152019,57.548,39.69104355,33.52188006,22.04288026,18.87642419,11.69576958,86.29078014,traffic_08,7.437303371,4.22994012,3.143096234,2.908779443,3.84742268,7.236325678,19.01795332,60.05255474,103.5489362,73.88529887,56.63263328,53.1368932,54.17398509,57.0647343,56.50645161,61.54380952,65.29225858,72.1824228,69.0576,47.62925226,40.22625608,26.45145631,22.65170903,14.03492349,8.676853933,4.93493014,3.666945607,3.393576017,4.488659794,8.442379958,22.18761221,70.06131387,120.8070922,86.19951535,66.07140549,61.99304207,63.2029826,66.57552335,65.92419355,71.80111111,76.17430168,84.2128266,80.5672,55.56746097,46.93063209,30.86003236,26.42699387,16.37407741,9.916404494,5.63992016,4.190794979,3.878372591,5.129896907,9.648434238,25.3572711,80.07007299,138.0652482,98.51373183,75.51017771,70.84919094,72.23198012,76.0863124,75.34193548,82.0584127,87.05634477,96.2432304,92.0768,63.50566968,53.6350081,35.26860841,30.2022787,18.71323132,['traffic_08'],['traffic_08'],"['traffic_08', 'traffic_09', 'traffic_16', 'traffic_17', 'traffic_18']"
309,103 St (1),40.799446,-73.968376,6.3158694,3.629009763,2.985893417,2.48019802,3.612266112,6.585219707,16.85165485,46.53858351,82.71725888,63.36960986,47.59609455,42.87152251,44.34427861,45.91641791,43.99551122,50.60020243,54.54577114,58.1963129,54.7494929,39.56858746,33.00406091,22.60490463,17.52504039,11.42984014,82.71725888,traffic_08,7.57904328,4.354811715,3.5830721,2.976237624,4.334719335,7.902263648,20.22198582,55.84630021,99.26071066,76.04353183,57.11531346,51.44582701,53.21313433,55.09970149,52.79461347,60.72024291,65.45492537,69.83557549,65.69939148,47.48230495,39.6048731,27.12588556,21.03004847,13.71580817,8.84221716,5.080613668,4.180250784,3.472277228,5.057172557,9.21930759,23.59231678,65.15401691,115.8041624,88.7174538,66.63453237,60.02013151,62.08199005,64.28298507,61.59371571,70.8402834,76.3640796,81.47483807,76.64929006,55.39602244,46.20568528,31.64686649,24.53505654,16.0017762,10.10539104,5.806415621,4.777429467,3.968316832,5.77962578,10.53635153,26.96264775,74.46173362,132.3476142,101.3913758,76.15375128,68.59443601,70.95084577,73.46626866,70.39281796,80.96032389,87.27323383,93.11410065,87.59918864,63.30973993,52.80649746,36.16784741,28.04006462,18.28774423,['traffic_08'],"['traffic_08', 'traffic_09']","['traffic_08', 'traffic_09', 'traffic_16', 'traffic_17', 'traffic_18']"
395,103 St (6),40.7906,-73.94748,4.452546296,2.642504119,2.33490566,2.413902054,4.362599772,9.363886343,22.65320457,52.09758002,68.57551669,42.17596229,34.18429487,33.81767516,36.54111198,40.77214171,53.22429907,85.93048973,75.94649882,72.86551994,42.90766823,32.62679426,23.59109312,16.02042553,12.06648452,10.5525394,85.93048973,traffic_15,5.343055556,3.171004942,2.801886792,2.896682464,5.235119726,11.23666361,27.18384548,62.51709602,82.29062003,50.61115475,41.02115385,40.58121019,43.84933438,48.92657005,63.86915888,103.1165877,91.13579858,87.43862392,51.48920188,39.15215311,28.30931174,19.22451064,14.47978142,12.66304729,6.233564815,3.699505766,3.268867925,3.379462875,6.107639681,13.10944088,31.71448639,72.93661202,96.00572337,59.04634721,47.85801282,47.34474522,51.15755677,57.08099839,74.51401869,120.3026856,106.3250983,102.0117279,60.07073552,45.67751196,33.02753036,22.42859574,16.89307832,14.77355517,7.124074074,4.22800659,3.735849057,3.862243286,6.980159635,14.98221815,36.2451273,83.35612802,109.7208267,67.48153967,54.69487179,54.10828025,58.46577917,65.23542673,85.1588785,137.4887836,121.5143981,116.5848319,68.65226917,52.20287081,37.74574899,25.63268085,19.30637523,16.88406305,"['traffic_15', 'traffic_16', 'traffic_17']","['traffic_08', 'traffic_15', 'traffic_16', 'traffic_17']","['traffic_08', 'traffic_15', 'traffic_16', 'traffic_17']"
395,103 St (6),40.7906,-73.94748,4.340206186,2.672354949,2.538461538,2.513199578,3.937545389,9.006060606,21.75454074,51.30368098,60.74725275,41.39377197,33.01550775,32.22487562,35.444667,40.99071812,52.77579365,78.09940945,75.67445328,71.46689895,44.01585678,32.8636826,22.96849174,15.37248677,11.27641348,9.703351955,78.09940945,traffic_15,5.208247423,3.206825939,3.046153846,3.015839493,4.725054466,10.80727273,26.10544888,61.56441718,72.8967033,49.67252637,39.6186093,38.66985075,42.5336004,49.18886175,63.33095238,93.71929134,90.80934394,85.76027875,52.81902813,39.43641913,27.56219008,18.44698413,13.53169617,11.64402235,6.07628866,3.741296928,3.553846154,3.518479409,5.512563544,12.60848485,30.45635703,71.82515337,85.04615385,57.95128076,46.22171086,45.11482587,49.6225338,57.38700537,73.88611111,109.3391732,105.9442346,100.0536585,61.62219949,46.00915565,32.15588843,21.52148148,15.78697887,13.58469274,6.944329897,4.275767918,4.061538462,4.021119324,6.300072622,14.40969697,34.80726518,82.08588957,97.1956044,66.23003516,52.82481241,51.559801,56.7114672,65.585149,84.44126984,124.9590551,121.0791252,114.3470383,70.42537084,52.58189217,36.74958678,24.59597884,18.04226156,15.52536313,"['traffic_15', 'traffic_16', 'traffic_17']","['traffic_08', 'traffic_15', 'traffic_16', 'traffic_17']","['traffic_07', 'traffic_08', 'traffic_14', 'traffic_15', 'traffic_16', 'traffic_17']"
156,"103 St (C,B)",40.796093,-73.96146,3.09751434,2.304,1.686363636,1.577060932,1.971279373,4.07642487,9.929292929,24.83150183,36.70468085,26.59584087,19.48076923,18.03054807,17.21305842,18.01284247,19.28785211,22.71917808,23.07771136,23.31130435,21.13055062,14.1270872,10.54460094,7.36318408,5.665853659,4.857962697,36.70468085,traffic_08,3.717017208,2.7648,2.023636364,1.892473118,2.365535248,4.891709845,11.91515152,29.7978022,44.04561702,31.91500904,23.37692308,21.63665768,20.6556701,21.61541096,23.14542254,27.2630137,27.69325363,27.97356522,25.35666075,16.95250464,12.65352113,8.835820896,6.79902439,5.829555237,4.336520076,3.2256,2.360909091,2.207885305,2.759791123,5.706994819,13.9010101,34.76410256,51.38655319,37.23417722,27.27307692,25.2427673,24.09828179,25.21797945,27.00299296,31.80684932,32.3087959,32.63582609,29.58277087,19.77792208,14.76244131,10.30845771,7.932195122,6.801147776,4.956022945,3.6864,2.698181818,2.523297491,3.154046997,6.522279793,15.88686869,39.73040293,58.72748936,42.55334539,31.16923077,28.84887691,27.54089347,28.82054795,30.86056338,36.35068493,36.92433817,37.29808696,33.80888099,22.60333952,16.8713615,11.78109453,9.065365854,7.772740316,['traffic_08'],"['traffic_08', 'traffic_09']","['traffic_07', 'traffic_08', 'traffic_09', 'traffic_16', 'traffic_17']"
156,"103 St (C,B)",40.796093,-73.96146,3.055359246,2.034229829,1.665671642,1.540441176,2.24566474,4.091891892,9.938499385,22.54827969,35.86741814,24.67112299,17.73741202,17.16076294,17.61747469,17.76782842,18.85254692,20.8517316,22.07696448,23.57948996,21.15644002,15.07864524,11.42823109,8.53515625,6.043773585,5.04985889,35.86741814,traffic_08,3.666431095,2.441075795,1.99880597,1.848529412,2.694797688,4.91027027,11.92619926,27.05793563,43.04090177,29.60534759,21.28489442,20.59291553,21.14096963,21.3213941,22.6230563,25.02207792,26.49235737,28.29538795,25.38772803,18.09437428,13.71387731,10.2421875,7.252528302,6.059830668,4.277502945,2.84792176,2.331940299,2.156617647,3.143930636,5.728648649,13.91389914,31.56759156,50.2143854,34.53957219,24.83237683,24.02506812,24.66446457,24.87495979,26.39356568,29.19242424,30.90775027,33.01128595,29.61901603,21.11010333,15.99952353,11.94921875,8.461283019,7.069802446,4.888574794,3.254767726,2.665074627,2.464705882,3.593063584,6.547027027,15.90159902,36.0772475,57.38786903,39.47379679,28.37985923,27.45722071,28.18795951,28.42852547,30.16407507,33.36277056,35.32314316,37.72718394,33.85030404,24.12583238,18.28516974,13.65625,9.670037736,8.079774224,['traffic_08'],['traffic_08'],"['traffic_07', 'traffic_08', 'traffic_09', 'traffic_17']"
450,103 St-Corona Plaza (7),40.749866,-73.8627,8.105131414,6.092643052,6.350698856,9.819290466,31.61429832,109.4712352,180.9060729,214.3330652,172.2607287,111.5007788,86.22384428,66.27931596,62.07980846,73.99432279,84.75432811,87.85164395,74.65767974,65.95318805,50.90495532,41.51698426,32.10101868,28.82883642,21.09725906,13.60547667,214.3330652,traffic_07,9.726157697,7.311171662,7.620838628,11.78314856,37.93715799,131.3654822,217.0872874,257.1996782,206.7128745,133.8009346,103.4686131,79.53517915,74.49577015,88.79318735,101.7051937,105.4219727,89.58921569,79.14382567,61.08594639,49.82038111,38.52122241,34.59460371,25.31671088,16.32657201,11.34718398,8.529700272,8.890978399,13.74700665,44.26001765,153.2597293,253.268502,300.0662912,241.1650202,156.1010903,120.713382,92.79104235,86.91173184,103.5920519,118.6560594,122.9923015,104.5207516,92.33446328,71.26693745,58.12377796,44.94142615,40.36037099,29.53616269,19.04766734,12.96821026,9.748228883,10.16111817,15.71086475,50.58287732,175.1539763,289.4497166,342.9329043,275.617166,178.4012461,137.9581509,106.0469055,99.32769354,118.3909165,135.606925,140.5626303,119.4522876,105.5251009,81.44792851,66.42717481,51.36162988,46.12613828,33.7556145,21.76876268,"['traffic_06', 'traffic_07']","['traffic_06', 'traffic_07', 'traffic_08']","['traffic_06', 'traffic_07', 'traffic_08']"
450,103 St-Corona Plaza (7),40.749866,-73.8627,7.18949959,5.158886894,6.45911414,9.720105125,29.89513927,102.5099338,165.7764103,192.5491762,145.4286432,97.83861083,74.93831494,56.19465456,54.32244898,62.67835671,73.18366337,74.85685279,63.1127551,54.89411765,45.0585189,35.59501558,30.69364162,25.99521785,19.51003344,11.64522174,192.5491762,traffic_07,8.627399508,6.190664273,7.750936968,11.66412615,35.87416712,123.0119205,198.9316923,231.0590115,174.5143719,117.406333,89.92597793,67.43358548,65.18693878,75.21402806,87.82039604,89.82822335,75.73530612,65.87294118,54.07022268,42.71401869,36.83236994,31.19426142,23.41204013,13.97426608,10.06529943,7.222441652,9.042759796,13.60814717,41.85319498,143.5139073,232.0869744,269.5688467,203.6001005,136.9740552,104.9136409,78.67251639,76.05142857,87.7496994,102.4571287,104.7995939,88.35785714,76.85176471,63.08192646,49.83302181,42.97109827,36.39330499,27.31404682,16.30331043,11.50319934,8.254219031,10.33458262,15.5521682,47.83222283,164.015894,265.2422564,308.078682,232.6858291,156.5417773,119.9013039,89.9114473,86.91591837,100.2853707,117.0938614,119.7709645,100.9804082,87.83058824,72.09363024,56.95202492,49.10982659,41.59234857,31.21605351,18.63235478,"['traffic_06', 'traffic_07']","['traffic_06', 'traffic_07', 'traffic_08']","['traffic_06', 'traffic_07', 'traffic_08']"
